vuln_id,asset_id,vulnerability_name,cve,severity,cvss,exploit_available,patch_available,days_open,asset_exposure,auth_required,status,affected_component,asset_name,asset_type,environment,owner_team,business_service,internet_exposed,criticality,data_classification,edr_installed,last_seen_days,vendor_product,business_impact,customer_facing,compliance_scope,revenue_impact,rto_hours,depends_on,risk_appetite,service_dependents,effective_internet_exposed,exposure_conflict,is_synthetic_cve,edr_missing,asset_stale,exploit_available_flag,patch_available_flag,auth_required_flag,ti_match_count,ti_intel_ids,ti_actors,ti_campaigns,ti_ransomware,ti_best_maturity,ti_profile_targeted,ti_last_seen,ti_summaries,in_kev,kev_ransomware,kev_date_added,kev_required_action,actively_exploited,ransomware_linked
V-2020,A-1006,Fortinet FortiOS Authentication Bypass,CVE-2024-55591,Critical,9.8,Yes,Yes,14,Internet,No,Open,VPN Auth Module,vpn-edge-02,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,Fortinet FortiGate 7.4.1,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,0,True,False,False,True,False,True,True,False,1,TI-3002,CrimsonJackal,Gateway Breaker,True,Weaponized,True,2026-04-22,Same CrimsonJackal campaign also exploiting Fortinet authentication bypass CVE-2024-55591 in parallel with CVE-2024-21762 for redundant access.,True,True,2025-01-14,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True
V-2021,A-1006,Outdated Firmware Version,CVE-SYN-2024-0188,Medium,5.8,No,Yes,92,Internet,No,Open,VPN Firmware,vpn-edge-02,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,Fortinet FortiGate 7.4.1,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,0,True,False,True,True,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2022,A-1007,Python Dependency with Known RCE,CVE-SYN-2025-0554,High,8.4,No,Yes,30,Internal,Yes,Open,Python Dependencies,fraud-detection-api,API Server,Production,Security Engineering,Fraud Detection,No,Critical,Transaction Data,Yes,1,Python 3.11 / FastAPI / Ubuntu 22.04,Fraudulent transactions may process undetected; significant financial and reputational loss,No,PCI DSS,Critical,1,,Very Low,1,False,False,True,False,False,False,True,True,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2023,A-1007,Insufficient Input Validation on Scoring API,CVE-SYN-2025-0601,Medium,6.3,No,Yes,45,Internal,Yes,Open,Scoring Engine,fraud-detection-api,API Server,Production,Security Engineering,Fraud Detection,No,Critical,Transaction Data,Yes,1,Python 3.11 / FastAPI / Ubuntu 22.04,Fraudulent transactions may process undetected; significant financial and reputational loss,No,PCI DSS,Critical,1,,Very Low,1,False,False,True,False,False,False,True,True,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2024,A-1008,Kong Gateway Admin API Exposed,CVE-SYN-2026-0011,Critical,9.3,Yes,Yes,5,Internet,No,Open,API Admin Interface,partner-api-gateway-prod,API Server,Production,Partnerships Team,Partner API Gateway,Yes,Critical,Payment Card Data,Yes,1,Kong Gateway 3.4 / Ubuntu 22.04,Bank and fintech partner integrations fail; SLA breach penalties apply,Yes,"PCI DSS, ISO 27001",High,2,Payment Processing,Low,0,True,False,True,False,False,True,True,False,1,TI-3023,WinterViper,Kong Gateway Exploit,True,Weaponized,True,2026-04-24,"WinterViper group targeting exposed API gateway admin interfaces, particularly Kong. Exploitation provides full control over all proxied routes, enabling traffic interception and partner impersonation.",False,False,,,True,True
V-2025,A-1008,OpenSSH Unauthenticated RCE (regreSSHion),CVE-2024-6387,High,8.1,Yes,Yes,41,Internet,No,Open,OpenSSH,partner-api-gateway-prod,API Server,Production,Partnerships Team,Partner API Gateway,Yes,Critical,Payment Card Data,Yes,1,Kong Gateway 3.4 / Ubuntu 22.04,Bank and fintech partner integrations fail; SLA breach penalties apply,Yes,"PCI DSS, ISO 27001",High,2,Payment Processing,Low,0,True,False,False,False,False,True,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2026,A-1008,Insecure Partner Authentication Token,CVE-SYN-2025-0702,High,7.7,No,Yes,33,Internet,Yes,Open,Auth Token Handler,partner-api-gateway-prod,API Server,Production,Partnerships Team,Partner API Gateway,Yes,Critical,Payment Card Data,Yes,1,Kong Gateway 3.4 / Ubuntu 22.04,Bank and fintech partner integrations fail; SLA breach penalties apply,Yes,"PCI DSS, ISO 27001",High,2,Payment Processing,Low,0,True,False,True,False,False,False,True,True,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2027,A-1009,PostgreSQL Privilege Escalation,CVE-2024-10978,Critical,9.2,Yes,Yes,40,Internal,Yes,Open,Database Engine,finance-db-prod-01,Database,Production,Finance Team,Financial Reporting,No,Critical,Financial Data,Yes,1,PostgreSQL 14 / Ubuntu 20.04,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,1,False,False,False,False,False,True,True,True,1,TI-3014,BlackCinder,Database Grab,True,Active Exploitation,True,2026-04-19,Ransomware affiliates chaining PostgreSQL privilege escalation CVE-2024-10978 with lateral movement to internal databases. Finance and payment databases are primary targets.,False,False,,,True,True
V-2028,A-1009,Unencrypted Database Backup Files,CVE-SYN-2024-0420,High,8.0,No,Yes,55,Internal,Yes,Open,Backup Config,finance-db-prod-01,Database,Production,Finance Team,Financial Reporting,No,Critical,Financial Data,Yes,1,PostgreSQL 14 / Ubuntu 20.04,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,1,False,False,True,False,False,False,True,True,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2029,A-1009,Excessive DB User Privileges,CTRL-SYN-003,High,7.6,No,Yes,90,Internal,Yes,Open,Database Permissions,finance-db-prod-01,Database,Production,Finance Team,Financial Reporting,No,Critical,Financial Data,Yes,1,PostgreSQL 14 / Ubuntu 20.04,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,1,False,False,True,False,False,False,True,True,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2030,A-1010,PostgreSQL Privilege Escalation,CVE-2024-10978,Critical,9.2,Yes,Yes,40,Internal,Yes,Open,Database Engine,finance-db-prod-02,Database,Production,Finance Team,Financial Reporting,No,Critical,Financial Data,Yes,1,PostgreSQL 14 / Ubuntu 20.04,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,1,False,False,False,False,False,True,True,True,1,TI-3014,BlackCinder,Database Grab,True,Active Exploitation,True,2026-04-19,Ransomware affiliates chaining PostgreSQL privilege escalation CVE-2024-10978 with lateral movement to internal databases. Finance and payment databases are primary targets.,False,False,,,True,True
V-2031,A-1010,Missing Encryption at Rest,CTRL-SYN-004,High,7.5,No,Yes,80,Internal,Yes,Open,Storage Encryption,finance-db-prod-02,Database,Production,Finance Team,Financial Reporting,No,Critical,Financial Data,Yes,1,PostgreSQL 14 / Ubuntu 20.04,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,1,False,False,True,False,False,False,True,True,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2032,A-1011,SQL Injection in CRM Search Module,CVE-SYN-2025-0441,High,8.7,Yes,Yes,32,Internet,No,Open,CRM Module,crm-app-prod,Application Server,Production,Sales Ops,CRM Platform,Yes,High,Customer PII,Yes,2,Java 11 / Tomcat 9 / Ubuntu 20.04,Sales pipeline and customer support workflows disrupted,Yes,GDPR,Medium,8,Customer Login,Medium,0,True,False,True,False,False,True,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2033,A-1011,Apache Tomcat Partial PUT RCE,CVE-2025-24813,Critical,9.8,Yes,Yes,21,Internet,No,Open,Tomcat Server,crm-app-prod,Application Server,Production,Sales Ops,CRM Platform,Yes,High,Customer PII,Yes,2,Java 11 / Tomcat 9 / Ubuntu 20.04,Sales pipeline and customer support workflows disrupted,Yes,GDPR,Medium,8,Customer Login,Medium,0,True,False,False,False,False,True,True,False,0,,,,False,Not Applicable,False,,,True,False,2025-04-01,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",True,False
V-2034,A-1011,Missing Security Headers,CVE-SYN-2024-0901,Low,3.7,No,Yes,90,Internet,No,Open,HTTP Headers,crm-app-prod,Application Server,Production,Sales Ops,CRM Platform,Yes,High,Customer PII,Yes,2,Java 11 / Tomcat 9 / Ubuntu 20.04,Sales pipeline and customer support workflows disrupted,Yes,GDPR,Medium,8,Customer Login,Medium,0,True,False,True,False,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2035,A-1011,Session Timeout Too Long,CVE-SYN-2024-0311,Medium,5.2,No,Yes,110,Internet,Yes,Open,Session Management,crm-app-prod,Application Server,Production,Sales Ops,CRM Platform,Yes,High,Customer PII,Yes,2,Java 11 / Tomcat 9 / Ubuntu 20.04,Sales pipeline and customer support workflows disrupted,Yes,GDPR,Medium,8,Customer Login,Medium,0,True,False,True,False,False,False,True,True,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2036,A-1012,Project Management Platform RCE,CVE-SYN-2026-0004,Critical,9.7,Yes,Yes,16,Internet,No,Open,Application Server,jira-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,Atlassian Jira 9.4,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,1,True,False,True,False,False,True,True,False,1,TI-3005,RedMantis,Collaboration Breach,True,Weaponized,True,2026-04-23,RedMantis is actively exploiting project management and collaboration platforms to reach engineering credentials and deployment artifacts. Ransomware deployment follows within 48-72 hours of access.,False,False,,,True,True
V-2037,A-1012,Atlassian Jira Server-Side Template Injection,CVE-2023-22515,Critical,10.0,Yes,Yes,180,Internet,No,Open,Template Engine,jira-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,Atlassian Jira 9.4,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,1,True,False,False,False,False,True,True,False,1,TI-3007,RedMantis,Collaboration Breach,True,Weaponized,True,2026-04-23,RedMantis also targeting Confluence broken access control CVE-2023-22515 to reach internal spaces containing credentials and architecture diagrams.,True,True,2023-10-05,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable. Check all affected Confluence instances for evidence of compromise per vendor instructions and report any positive findings to CISA.,True,True
V-2038,A-1012,Excessive User Permissions on Projects,CVE-SYN-2024-0822,High,7.6,No,Yes,95,Internet,Yes,Open,Access Control,jira-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,Atlassian Jira 9.4,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,1,True,False,True,False,False,False,True,True,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2039,A-1012,Outdated Jira Version,CVE-SYN-2024-0155,Medium,6.5,No,Yes,130,Internet,No,Open,Application Version,jira-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,Atlassian Jira 9.4,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,1,True,False,True,False,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2040,A-1013,Confluence RCE via OGNL Injection,CVE-2023-22527,Critical,10.0,Yes,Yes,200,Internet,No,Open,OGNL Template Engine,confluence-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,Atlassian Confluence 8.5,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,1,True,False,False,False,False,True,True,False,1,TI-3006,RedMantis,Collaboration Breach,True,Weaponized,True,2026-04-23,Same RedMantis campaign also exploiting Confluence RCE CVE-2023-22527. Victims include engineering-heavy SaaS firms in MENA region.,True,True,2024-01-24,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True
V-2041,A-1013,Confluence Broken Access Control,CVE-2023-22518,Critical,10.0,Yes,Yes,200,Internet,No,Open,Access Control,confluence-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,Atlassian Confluence 8.5,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,1,True,False,False,False,False,True,True,False,0,,,,False,Not Applicable,False,,,True,True,2023-11-07,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True
V-2042,A-1013,Insecure Direct Object Reference in Spaces,CVE-SYN-2024-0634,High,7.5,No,Yes,88,Internet,No,Open,Space Management,confluence-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,Atlassian Confluence 8.5,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,1,True,False,True,False,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2043,A-1014,JetBrains TeamCity Authentication Bypass,CVE-2024-27198,Critical,9.8,Yes,Yes,155,Internet,No,Open,Authentication Handler,teamcity-prod,Build Server,Production,DevOps,DevOps Platform,Yes,High,Source Code,No,3,JetBrains TeamCity 2023.11,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,0,True,False,False,True,False,True,True,False,1,TI-3009,SilentForge,Build Chain Theft,False,Weaponized,False,2026-04-21,SilentForge also exploiting JetBrains TeamCity CVE-2024-27198 authentication bypass to access build pipelines and extract secrets.,True,True,2024-03-07,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True
V-2044,A-1014,JetBrains TeamCity Path Traversal,CVE-2024-27199,High,7.3,Yes,Yes,155,Internet,No,Open,File Handler,teamcity-prod,Build Server,Production,DevOps,DevOps Platform,Yes,High,Source Code,No,3,JetBrains TeamCity 2023.11,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,0,True,False,False,True,False,True,True,False,0,,,,False,Not Applicable,False,,,True,True,2026-04-20,"Apply mitigations per vendor instructions, follow applicable BOD 22-01 guidance for cloud services, or discontinue use of the product if mitigations are unavailable.",True,True
V-2045,A-1014,CI/CD Secrets Exposed in Build Logs,CICD-SYN-001,Critical,9.4,Yes,Yes,14,Internet,Yes,Open,Build Pipeline,teamcity-prod,Build Server,Production,DevOps,DevOps Platform,Yes,High,Source Code,No,3,JetBrains TeamCity 2023.11,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,0,True,False,True,True,False,True,True,True,1,TI-3008,SilentForge,Build Chain Theft,False,Weaponized,False,2026-04-21,Attackers are targeting CI/CD systems to steal source code and deployment secrets. Exposed build variables and hardcoded credentials are the primary vector.,False,False,,,True,False
V-2046,A-1014,Unauthenticated Build Trigger,CVE-SYN-2025-0887,High,8.2,No,Yes,60,Internet,No,Open,Build API,teamcity-prod,Build Server,Production,DevOps,DevOps Platform,Yes,High,Source Code,No,3,JetBrains TeamCity 2023.11,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,0,True,False,True,True,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
V-2047,A-1015,PHP CGI Argument Injection,CVE-2024-4577,Critical,9.8,Yes,Yes,30,Internet,No,Open,PHP CGI,hr-portal-prod,Web Application,Production,HR Team,Employee Services,Yes,High,Employee PII,Yes,2,PHP 8.1 / Apache 2.4 / Ubuntu 22.04,HR workflows and payroll processing impacted; employee data at risk,No,GDPR,Medium,12,,Low,0,True,False,False,False,False,True,True,False,2,"TI-3013, TI-3016","AmberFox, GrayLotus","CMS Spray, HR Data Theft",False,Commodity Exploit,False,2026-04-12,AmberFox also observed leveraging PHP CGI injection CVE-2024-4577 on HR portal systems running PHP. | Same GrayLotus botnet also exploiting PHP CVE-2024-4577 on CMS hosts. High volume but lower sophistication.,True,True,2024-06-12,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True
V-2048,A-1015,File Upload to RCE Vulnerability,CVE-SYN-2025-0333,High,8.4,Yes,Yes,25,Internet,No,Open,HR Portal Upload,hr-portal-prod,Web Application,Production,HR Team,Employee Services,Yes,High,Employee PII,Yes,2,PHP 8.1 / Apache 2.4 / Ubuntu 22.04,HR workflows and payroll processing impacted; employee data at risk,No,GDPR,Medium,12,,Low,0,True,False,True,False,False,True,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False
