vuln_id,asset_id,vulnerability_name,cve,severity,cvss,exploit_available,patch_available,days_open,asset_exposure,auth_required,status,affected_component,asset_name,asset_type,environment,owner_team,business_service,internet_exposed,criticality,data_classification,edr_installed,last_seen_days,vendor_product,business_impact,customer_facing,compliance_scope,revenue_impact,rto_hours,depends_on,risk_appetite,service_dependents,effective_internet_exposed,exposure_conflict,is_synthetic_cve,edr_missing,asset_stale,exploit_available_flag,patch_available_flag,auth_required_flag,ti_match_count,ti_intel_ids,ti_actors,ti_campaigns,ti_ransomware,ti_best_maturity,ti_profile_targeted,ti_last_seen,ti_summaries,in_kev,kev_ransomware,kev_date_added,kev_required_action,actively_exploited,ransomware_linked,likelihood,likelihood_breakdown,impact,impact_breakdown,risk_score
V-2045,A-1014,CI/CD Secrets Exposed in Build Logs,CICD-SYN-001,Critical,9.4,Yes,Yes,14,Internet,Yes,Open,Build Pipeline,teamcity-prod,Build Server,Production,DevOps,DevOps Platform,Yes,High,Source Code,No,3,JetBrains TeamCity 2023.11,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,0,True,False,True,True,False,True,True,True,1,TI-3008,SilentForge,Build Chain Theft,False,Weaponized,False,2026-04-21,Attackers are targeting CI/CD systems to steal source code and deployment secrets. Exposed build variables and hardcoded credentials are the primary vector.,False,False,,,True,False,0.7182683982683981,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""actively_exploited"", ""value"": 0.85, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": ""SilentForge"", ""ti_maturity"": ""Weaponized""}, ""cvss_multiplier"": {""cvss"": 9.4, ""value"": 0.976}, ""no_auth_required"": {""applied"": false, ""value"": 1.0}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": true, ""value"": 1.2}}",0.458,"{""components"": {""asset_criticality"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Medium"", ""score"": 0.5, ""weight"": 0.25}, ""compliance"": {""input"": ""SOC 2"", ""score"": 0.5, ""weight"": 0.2}, ""customer_facing"": {""input"": ""No"", ""score"": 0.4, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""12"", ""score"": 0.6, ""weight"": 0.1}, ""data_classification"": {""input"": ""Source Code"", ""score"": 0.6, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Build Server"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",32.9
V-2025,A-1008,OpenSSH Unauthenticated RCE (regreSSHion),CVE-2024-6387,High,8.1,Yes,Yes,41,Internet,No,Open,OpenSSH,partner-api-gateway-prod,API Server,Production,Partnerships Team,Partner API Gateway,Yes,Critical,Payment Card Data,Yes,1,Kong Gateway 3.4 / Ubuntu 22.04,Bank and fintech partner integrations fail; SLA breach penalties apply,Yes,"PCI DSS, ISO 27001",High,2,Payment Processing,Low,0,True,False,False,False,False,True,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False,0.4199999999999998,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""poc_exploit_only"", ""value"": 0.6, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": """", ""ti_maturity"": ""Not Applicable""}, ""cvss_multiplier"": {""cvss"": 8.1, ""value"": 0.924}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.7339999999999999,"{""components"": {""asset_criticality"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""service_revenue"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""compliance"": {""input"": ""PCI DSS, ISO 27001"", ""score"": 1.0, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""2"", ""score"": 0.8, ""weight"": 0.1}, ""data_classification"": {""input"": ""Payment Card Data"", ""score"": 1.0, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""API Server"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",30.8
V-2032,A-1011,SQL Injection in CRM Search Module,CVE-SYN-2025-0441,High,8.7,Yes,Yes,32,Internet,No,Open,CRM Module,crm-app-prod,Application Server,Production,Sales Ops,CRM Platform,Yes,High,Customer PII,Yes,2,Java 11 / Tomcat 9 / Ubuntu 20.04,Sales pipeline and customer support workflows disrupted,Yes,GDPR,Medium,8,Customer Login,Medium,0,True,False,True,False,False,True,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False,0.4309090909090908,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""poc_exploit_only"", ""value"": 0.6, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": """", ""ti_maturity"": ""Not Applicable""}, ""cvss_multiplier"": {""cvss"": 8.7, ""value"": 0.948}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.5780000000000001,"{""components"": {""asset_criticality"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Medium"", ""score"": 0.5, ""weight"": 0.25}, ""compliance"": {""input"": ""GDPR"", ""score"": 0.8, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""8"", ""score"": 0.6, ""weight"": 0.1}, ""data_classification"": {""input"": ""Customer PII"", ""score"": 0.9, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Application Server"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",24.9
V-2052,A-1016,OpenSSH Unauthenticated RCE (regreSSHion),CVE-2024-6387,High,8.1,Yes,Yes,39,Internet,No,Open,OpenSSH,customer-support-portal,Web Application,Production,Customer Experience,Customer Support Portal,Yes,High,Customer PII,Yes,1,Django 4.2 / Ubuntu 22.04,Support agents cannot access tickets; customer escalations unmanaged,Yes,GDPR,Medium,4,Customer Login,Medium,0,True,False,False,False,False,True,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False,0.4199999999999998,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""poc_exploit_only"", ""value"": 0.6, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": """", ""ti_maturity"": ""Not Applicable""}, ""cvss_multiplier"": {""cvss"": 8.1, ""value"": 0.924}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.5940000000000001,"{""components"": {""asset_criticality"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Medium"", ""score"": 0.5, ""weight"": 0.25}, ""compliance"": {""input"": ""GDPR"", ""score"": 0.8, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""4"", ""score"": 0.8, ""weight"": 0.1}, ""data_classification"": {""input"": ""Customer PII"", ""score"": 0.9, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Web Application"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",24.9
V-2056,A-1018,Microsoft Exchange NTLM Relay Privilege Escalation,CVE-2024-21410,Critical,9.8,Yes,Yes,90,Internet,No,Open,NTLM Auth,email-server-prod,Mail Server,Production,IT Operations,Internal Communications,Yes,High,Internal Confidential,Yes,1,Microsoft Exchange 2019 CU13,Internal email and chat offline; operational coordination degraded,No,ISO 27001,Low,24,,Medium,0,True,False,False,False,False,True,True,False,1,TI-3019,Unknown,Exchange NTLMv2 Relay,False,Weaponized,False,2026-04-17,Multiple threat actors exploiting Microsoft Exchange CVE-2024-21410 to relay NTLMv2 hashes. Internal privilege escalation follows. No ransomware link confirmed.,True,False,2024-02-15,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,False,0.6387878787878787,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""actively_exploited"", ""value"": 0.85, ""in_kev"": true, ""kev_ransomware"": false, ""ti_actors"": ""Unknown"", ""ti_maturity"": ""Weaponized""}, ""cvss_multiplier"": {""cvss"": 9.8, ""value"": 0.992}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.384,"{""components"": {""asset_criticality"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Low"", ""score"": 0.25, ""weight"": 0.25}, ""compliance"": {""input"": ""ISO 27001"", ""score"": 0.5, ""weight"": 0.2}, ""customer_facing"": {""input"": ""No"", ""score"": 0.4, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""24"", ""score"": 0.4, ""weight"": 0.1}, ""data_classification"": {""input"": ""Internal Confidential"", ""score"": 0.5, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Mail Server"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",24.5
V-2051,A-1016,IDOR in Ticket View API,CVE-SYN-2025-0202,High,7.8,Yes,Yes,22,Internet,Yes,Open,Ticket API,customer-support-portal,Web Application,Production,Customer Experience,Customer Support Portal,Yes,High,Customer PII,Yes,1,Django 4.2 / Ubuntu 22.04,Support agents cannot access tickets; customer escalations unmanaged,Yes,GDPR,Medium,4,Customer Login,Medium,0,True,False,True,False,False,True,True,True,0,,,,False,Not Applicable,False,,,False,False,,,False,False,0.3948051948051947,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""poc_exploit_only"", ""value"": 0.6, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": """", ""ti_maturity"": ""Not Applicable""}, ""cvss_multiplier"": {""cvss"": 7.8, ""value"": 0.912}, ""no_auth_required"": {""applied"": false, ""value"": 1.0}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.5940000000000001,"{""components"": {""asset_criticality"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Medium"", ""score"": 0.5, ""weight"": 0.25}, ""compliance"": {""input"": ""GDPR"", ""score"": 0.8, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""4"", ""score"": 0.8, ""weight"": 0.1}, ""data_classification"": {""input"": ""Customer PII"", ""score"": 0.9, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Web Application"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",23.5
V-2058,A-1019,WordPress Plugin Remote Code Execution,CVE-2024-4577,Critical,9.8,Yes,Yes,35,Internet,No,Open,PHP CGI / Plugin,corporate-site-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,WordPress 6.4 / PHP 8.1 / nginx,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,0,True,False,False,False,False,True,True,False,2,"TI-3013, TI-3016","AmberFox, GrayLotus","CMS Spray, HR Data Theft",False,Commodity Exploit,False,2026-04-12,AmberFox also observed leveraging PHP CGI injection CVE-2024-4577 on HR portal systems running PHP. | Same GrayLotus botnet also exploiting PHP CVE-2024-4577 on CMS hosts. High volume but lower sophistication.,True,True,2024-06-12,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True,0.7515151515151514,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""active_and_ransomware"", ""value"": 1.0, ""in_kev"": true, ""kev_ransomware"": true, ""ti_actors"": ""AmberFox, GrayLotus"", ""ti_maturity"": ""Commodity Exploit""}, ""cvss_multiplier"": {""cvss"": 9.8, ""value"": 0.992}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.31000000000000005,"{""components"": {""asset_criticality"": {""input"": ""Medium"", ""score"": 0.5, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Low"", ""score"": 0.25, ""weight"": 0.25}, ""compliance"": {""input"": ""nan"", ""score"": 0.2, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""24"", ""score"": 0.4, ""weight"": 0.1}, ""data_classification"": {""input"": ""Public Data"", ""score"": 0.2, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Web Server"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",23.3
V-2083,A-1032,WordPress PHP Object Injection via Plugin,CVE-2024-4577,Critical,9.8,Yes,Yes,40,Internet,No,Open,PHP CGI,marketing-cms-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,WordPress 6.2 / PHP 7.4 / Apache 2.4,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,0,True,False,False,False,False,True,True,False,2,"TI-3013, TI-3016","AmberFox, GrayLotus","CMS Spray, HR Data Theft",False,Commodity Exploit,False,2026-04-12,AmberFox also observed leveraging PHP CGI injection CVE-2024-4577 on HR portal systems running PHP. | Same GrayLotus botnet also exploiting PHP CVE-2024-4577 on CMS hosts. High volume but lower sophistication.,True,True,2024-06-12,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,True,True,0.7515151515151514,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""active_and_ransomware"", ""value"": 1.0, ""in_kev"": true, ""kev_ransomware"": true, ""ti_actors"": ""AmberFox, GrayLotus"", ""ti_maturity"": ""Commodity Exploit""}, ""cvss_multiplier"": {""cvss"": 9.8, ""value"": 0.992}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.31000000000000005,"{""components"": {""asset_criticality"": {""input"": ""Medium"", ""score"": 0.5, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Low"", ""score"": 0.25, ""weight"": 0.25}, ""compliance"": {""input"": ""nan"", ""score"": 0.2, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""24"", ""score"": 0.4, ""weight"": 0.1}, ""data_classification"": {""input"": ""Public Data"", ""score"": 0.2, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Web Server"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",23.3
V-2048,A-1015,File Upload to RCE Vulnerability,CVE-SYN-2025-0333,High,8.4,Yes,Yes,25,Internet,No,Open,HR Portal Upload,hr-portal-prod,Web Application,Production,HR Team,Employee Services,Yes,High,Employee PII,Yes,2,PHP 8.1 / Apache 2.4 / Ubuntu 22.04,HR workflows and payroll processing impacted; employee data at risk,No,GDPR,Medium,12,,Low,0,True,False,True,False,False,True,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False,0.42545454545454536,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""poc_exploit_only"", ""value"": 0.6, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": """", ""ti_maturity"": ""Not Applicable""}, ""cvss_multiplier"": {""cvss"": 8.4, ""value"": 0.936}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.522,"{""components"": {""asset_criticality"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Medium"", ""score"": 0.5, ""weight"": 0.25}, ""compliance"": {""input"": ""GDPR"", ""score"": 0.8, ""weight"": 0.2}, ""customer_facing"": {""input"": ""No"", ""score"": 0.4, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""12"", ""score"": 0.6, ""weight"": 0.1}, ""data_classification"": {""input"": ""Employee PII"", ""score"": 0.8, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Web Application"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",22.2
V-2071,A-1024,Storage Bucket Public Policy Misconfiguration,CLOUD-SYN-001,Critical,9.1,Yes,Yes,21,Internal,No,Open,Object Storage Policy,backup-storage-prod,Object Storage,Production,Infrastructure,Backup and Recovery,No,Critical,Internal Confidential,No,6,AWS S3 / Veeam 12,Disaster recovery capability lost; data restoration impossible if primary fails,No,ISO 27001,High,4,,Low,0,False,False,True,True,False,True,True,False,1,TI-3011,NightHarbor,Backup Hunter,True,Active Exploitation,True,2026-04-15,Adversaries scanning for misconfigured cloud storage and backup systems. Goal is to identify restorable backups that can support extortion and double-extortion ransomware.,False,False,,,True,True,0.3373999999999999,"{""exposure"": {""internet_exposed"": false, ""value"": 0.35}, ""evidence_tier"": {""tier"": ""active_and_ransomware"", ""value"": 1.0, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": ""NightHarbor"", ""ti_maturity"": ""Active Exploitation""}, ""cvss_multiplier"": {""cvss"": 9.1, ""value"": 0.964}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": true, ""value"": 1.1}, ""edr_missing"": {""applied"": true, ""value"": 1.2}}",0.5660000000000001,"{""components"": {""asset_criticality"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""service_revenue"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""compliance"": {""input"": ""ISO 27001"", ""score"": 0.5, ""weight"": 0.2}, ""customer_facing"": {""input"": ""No"", ""score"": 0.4, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""4"", ""score"": 0.8, ""weight"": 0.1}, ""data_classification"": {""input"": ""Internal Confidential"", ""score"": 0.5, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Object Storage"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",19.1
V-2065,A-1021,Unencrypted Management Interface,CVE-SYN-2025-0601,Medium,6.8,No,Yes,75,Internet,No,Open,Management Plane,load-balancer-prod-01,Load Balancer,Production,Network Team,Customer Login,Yes,High,Internal Access,No,1,Citrix NetScaler ADC 13.0,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,3,True,False,True,True,False,False,True,False,0,,,,False,Not Applicable,False,,,False,False,,,False,False,0.23781818181818173,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""no_known_exploit"", ""value"": 0.3, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": """", ""ti_maturity"": ""Not Applicable""}, ""cvss_multiplier"": {""cvss"": 6.8, ""value"": 0.872}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": true, ""value"": 1.2}}",0.79,"{""components"": {""asset_criticality"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""compliance"": {""input"": ""GDPR"", ""score"": 0.8, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""1"", ""score"": 1.0, ""weight"": 0.1}, ""data_classification"": {""input"": ""Internal Access"", ""score"": 0.4, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 3, ""value"": 0.15}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Load Balancer"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",18.8
V-2059,A-1019,Outdated WordPress Core Version,CVE-SYN-2025-0123,High,7.9,Yes,Yes,35,Internet,No,Open,CMS Core,corporate-site-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,WordPress 6.4 / PHP 8.1 / nginx,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,0,True,False,True,False,False,True,True,False,1,TI-3015,GrayLotus,CMS Spray,False,Commodity Exploit,False,2026-04-12,Automated botnet scanning for outdated CMS installations. Targets are primarily opportunistic — corporate websites and marketing CMSes.,False,False,,,True,False,0.5898484848484847,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""actively_exploited"", ""value"": 0.85, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": ""GrayLotus"", ""ti_maturity"": ""Commodity Exploit""}, ""cvss_multiplier"": {""cvss"": 7.9, ""value"": 0.916}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.31000000000000005,"{""components"": {""asset_criticality"": {""input"": ""Medium"", ""score"": 0.5, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Low"", ""score"": 0.25, ""weight"": 0.25}, ""compliance"": {""input"": ""nan"", ""score"": 0.2, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""24"", ""score"": 0.4, ""weight"": 0.1}, ""data_classification"": {""input"": ""Public Data"", ""score"": 0.2, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Web Server"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",18.3
V-2084,A-1032,WordPress Plugin XSS,CVE-SYN-2025-0123,High,7.9,Yes,Yes,45,Internet,No,Open,CMS Plugin,marketing-cms-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,WordPress 6.2 / PHP 7.4 / Apache 2.4,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,0,True,False,True,False,False,True,True,False,1,TI-3015,GrayLotus,CMS Spray,False,Commodity Exploit,False,2026-04-12,Automated botnet scanning for outdated CMS installations. Targets are primarily opportunistic — corporate websites and marketing CMSes.,False,False,,,True,False,0.5898484848484847,"{""exposure"": {""internet_exposed"": true, ""value"": 1.0}, ""evidence_tier"": {""tier"": ""actively_exploited"", ""value"": 0.85, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": ""GrayLotus"", ""ti_maturity"": ""Commodity Exploit""}, ""cvss_multiplier"": {""cvss"": 7.9, ""value"": 0.916}, ""no_auth_required"": {""applied"": true, ""value"": 1.05}, ""profile_targeted"": {""applied"": false, ""value"": 1.0}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.31000000000000005,"{""components"": {""asset_criticality"": {""input"": ""Medium"", ""score"": 0.5, ""weight"": 0.25}, ""service_revenue"": {""input"": ""Low"", ""score"": 0.25, ""weight"": 0.25}, ""compliance"": {""input"": ""nan"", ""score"": 0.2, ""weight"": 0.2}, ""customer_facing"": {""input"": ""Yes"", ""score"": 1.0, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""24"", ""score"": 0.4, ""weight"": 0.1}, ""data_classification"": {""input"": ""Public Data"", ""score"": 0.2, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 0, ""value"": 0.0}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Web Server"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",18.3
V-2027,A-1009,PostgreSQL Privilege Escalation,CVE-2024-10978,Critical,9.2,Yes,Yes,40,Internal,Yes,Open,Database Engine,finance-db-prod-01,Database,Production,Finance Team,Financial Reporting,No,Critical,Financial Data,Yes,1,PostgreSQL 14 / Ubuntu 20.04,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,1,False,False,False,False,False,True,True,True,1,TI-3014,BlackCinder,Database Grab,True,Active Exploitation,True,2026-04-19,Ransomware affiliates chaining PostgreSQL privilege escalation CVE-2024-10978 with lateral movement to internal databases. Finance and payment databases are primary targets.,False,False,,,True,True,0.26888888888888884,"{""exposure"": {""internet_exposed"": false, ""value"": 0.35}, ""evidence_tier"": {""tier"": ""active_and_ransomware"", ""value"": 1.0, ""in_kev"": false, ""kev_ransomware"": false, ""ti_actors"": ""BlackCinder"", ""ti_maturity"": ""Active Exploitation""}, ""cvss_multiplier"": {""cvss"": 9.2, ""value"": 0.968}, ""no_auth_required"": {""applied"": false, ""value"": 1.0}, ""profile_targeted"": {""applied"": true, ""value"": 1.1}, ""edr_missing"": {""applied"": false, ""value"": 1.0}}",0.622,"{""components"": {""asset_criticality"": {""input"": ""Critical"", ""score"": 1.0, ""weight"": 0.25}, ""service_revenue"": {""input"": ""High"", ""score"": 0.75, ""weight"": 0.25}, ""compliance"": {""input"": ""SOC 2, IFRS"", ""score"": 0.5, ""weight"": 0.2}, ""customer_facing"": {""input"": ""No"", ""score"": 0.4, ""weight"": 0.1}, ""rto_urgency"": {""input"": ""4"", ""score"": 0.8, ""weight"": 0.1}, ""data_classification"": {""input"": ""Financial Data"", ""score"": 0.7, ""weight"": 0.1}}, ""dependency_bonus"": {""dependents"": 1, ""value"": 0.05}, ""gateway_asset_bonus"": {""applied"": false, ""asset_type"": ""Database"", ""value"": 0.0}, ""environment_modifier"": {""environment"": ""Production"", ""value"": 1.0}}",16.7
